ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,label
18,4,0,38,0,7,5,4,0,1,3,7,4,0.0049079754601227,30.74,16.9,5.299212598425197,34.0,1.1190341711044312,1.074308067560196,1
13,1,0,17,0,7,1,3,1,1,3,2,2,0.034482758620689655,16.02,16.3,5.984615384615385,23.333333333333332,1.1644595861434937,1.0006122191747029,1
4,1,0,19,0,9,3,3,0,1,3,3,2,0.007481296758104738,57.61,10.7,4.893939393939394,24.0,1.1908016204833984,1.2420364618301392,1
7,2,0,18,0,9,1,3,0,2,0,0,3,0.04656862745098039,26.51,14.4,5.661016949152542,23.0,1.42527437210083,1.1765497128168743,1
13,1,0,22,0,8,6,4,0,2,1,2,2,0.007736943907156673,35.27,13.1,5.592105263157895,21.5,1.2622699737548828,1.1186213195323944,1
9,0,0,26,1,6,1,3,0,2,2,8,5,0.013888888888888888,54.56,11.9,4.5,28.333333333333332,1.2905038595199585,1.7101623217264812,1
20,3,0,33,0,10,8,4,1,4,3,3,3,0.009320905459387484,19.4,17.1,5.859813084112149,30.0,1.1834498643875122,1.0024517476558685,1
19,4,0,32,1,17,4,5,0,4,4,3,1,0.008225616921269096,37.03,14.5,5.488372093023256,27.6,1.1246603727340698,1.0874797105789185,1
12,0,0,30,1,9,4,4,2,4,3,3,8,0.006389776357827476,38.15,14.0,5.019607843137255,28.0,1.1204776763916016,1.0782918334007263,1
15,3,0,43,0,12,10,5,0,1,2,5,7,0.01770956316410862,29.18,15.4,5.592,28.4,1.2775330543518066,1.0697573900222779,1
16,8,0,23,0,15,6,5,1,4,0,2,6,0.024251069900142655,32.63,14.1,5.209090909090909,24.8,1.1163617372512817,1.082241678237915,1
20,4,0,29,0,16,8,4,4,0,0,1,0,0.009472259810554804,13.28,17.4,6.19,29.5,1.1718729734420776,1.0688030421733856,1
17,3,0,28,0,14,2,4,0,3,4,3,2,0.005689900426742532,13.48,17.3,6.273684210526316,25.25,1.1442651748657227,1.0577372908592224,1
9,5,0,24,0,12,4,4,3,0,2,4,4,0.03553299492385787,31.72,14.4,5.204301075268817,26.0,1.1412765979766846,1.003680408000946,1
26,6,0,54,0,9,8,5,0,4,5,8,8,0.007483629560336763,23.29,17.7,5.512345679012346,35.6,1.1485506296157837,1.0420165300369262,1
17,2,0,27,0,10,3,3,2,2,1,5,6,0.004815409309791332,15.65,18.5,5.641304347826087,33.333333333333336,1.1529531478881836,1.082201401392619,1
8,5,0,25,1,15,7,5,1,2,0,4,5,0.015873015873015872,36.49,12.6,5.736263736263736,20.8,1.2345267534255981,1.0016021490097047,1
13,3,0,25,0,11,4,4,1,0,0,3,5,0.0070921985815602835,33.95,13.6,5.7073170731707314,22.75,1.2072619199752808,1.0086521804332733,1
6,4,0,39,1,16,5,4,2,1,4,3,2,0.005221932114882507,26.85,16.3,5.7657657657657655,30.5,1.1284350156784058,1.0017088949680328,1
11,4,0,25,0,12,5,4,0,3,2,1,4,0.00625,30.91,14.7,5.720430107526882,25.5,1.2481703758239746,1.2208605408668518,1
12,6,0,18,0,8,5,4,1,2,0,3,3,0.011278195488721804,35.47,13.0,5.653846153846154,22.0,1.323012113571167,1.0066368877887726,1
16,2,0,38,0,11,7,3,3,3,2,5,8,0.004076086956521739,23.43,19.7,5.0,44.333333333333336,1.1251187324523926,1.1074897448221843,1
4,1,0,19,4,9,2,3,0,2,2,2,1,0.08316430020283976,58.48,8.3,4.890243902439025,30.333333333333332,1.1304233074188232,1.1260758638381958,1
12,3,0,34,0,6,4,4,0,0,0,2,2,0.006589785831960461,48.33,12.2,5.516483516483516,24.75,1.1368238925933838,1.0007314383983612,1
10,4,0,18,0,5,2,2,0,0,0,2,3,0.026726057906458798,13.62,19.3,5.765625,37.0,1.1743836402893066,1.161769449710846,1
8,2,0,27,1,9,6,3,0,0,3,9,7,0.015025041736227046,30.84,16.8,5.126315789473685,35.333333333333336,1.1883738040924072,1.3119653860727947,1
6,4,0,25,0,13,6,3,1,0,1,2,2,0.005649717514124294,29.18,15.4,5.7894736842105265,28.666666666666668,1.1705944538116455,1.0013025601704915,1
22,8,0,49,0,28,11,7,0,3,7,2,12,0.007757951900698216,22.14,16.0,5.666666666666667,26.5,1.0689663887023926,1.021430790424347,1
15,5,0,23,0,9,5,5,0,0,4,3,4,0.008532423208191127,53.21,10.3,5.333333333333333,20.0,1.3328568935394287,1.056325650215149,1
18,3,0,27,0,13,5,5,0,3,2,1,1,0.007530120481927711,41.9,12.6,5.09433962264151,24.0,1.170676827430725,1.0134560346603394,1
9,2,0,26,0,10,2,3,0,0,0,2,4,0.005208333333333333,25.83,16.7,5.5813953488372094,30.333333333333332,1.1963595151901245,1.1554711659749348,1
12,2,0,33,0,9,4,4,0,4,2,8,10,0.0260989010989011,41.03,15.0,4.933333333333334,32.5,1.1174565553665161,1.0898087620735168,1
